data,aligner,paired,align_time,overall_time,pct_increase_a_to_o,peak_wrapper,peak_children,pct_increase_peak
ERR050082,Bowtie 2,T,3451,3681,+6.667,421422191,3506787110,+12.017
ERR050082,Bowtie 2,F,1415,1512,+6.895,288321155,3496038954,+8.247
ERR050082,BWA-MEM,T,3476,3803,+9.412,411361230,8454159938,+4.866
ERR050082,BWA-MEM,F,1331,1425,+7.080,275500677,8090215147,+3.405
ERR050082,SNAP,T,677,865,+27.689,368497457,32434734026,+1.136
ERR050082,SNAP,F,728,825,+13.317,266706732,31415591974,+0.849
ERR050083,Bowtie 2,T,3816,4044,+5.995,419328395,3506185815,+11.960
ERR050083,Bowtie 2,F,1381,1485,+7.546,289480796,3496500663,+8.279
ERR050083,BWA-MEM,T,3695,4051,+9.623,411329018,8506580014,+4.835
ERR050083,BWA-MEM,F,1476,1565,+6.028,276799905,8318675195,+3.327
ERR050083,SNAP,T,717,881,+22.859,368851791,32434766238,+1.137
ERR050083,SNAP,F,734,824,+12.310,267501301,31415591974,+0.851
